factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
RMW,1990-12-28,false_positive,too_early_to_attribute,1993-04-21,584.0,False,False,False
RMW,1992-04-23,false_positive,extended_early_warning,1993-04-21,251.0,False,False,True
RMW,1992-10-21,true_positive,true_positive,1993-04-21,125.0,False,True,True
RMW,1993-09-07,false_positive,post_collapse_warning,1993-05-28,0.0,True,False,False
RMW,1993-11-01,false_positive,post_collapse_warning,1993-05-28,0.0,True,False,False
RMW,1993-11-16,false_positive,post_collapse_warning,1993-05-28,0.0,True,False,False
RMW,1994-08-31,false_positive,too_early_to_attribute,1999-03-17,1146.0,False,False,False
RMW,1995-10-04,false_positive,too_early_to_attribute,1999-03-17,870.0,False,False,False
RMW,1996-02-22,false_positive,too_early_to_attribute,1999-03-17,773.0,False,False,False
RMW,1996-09-24,false_positive,too_early_to_attribute,1999-03-17,624.0,False,False,False
RMW,1998-01-12,false_positive,too_early_to_attribute,1999-03-17,296.0,False,False,False
RMW,1998-02-25,false_positive,too_early_to_attribute,1999-03-17,266.0,False,False,False
RMW,1998-09-02,false_positive,extended_early_warning,1999-03-17,134.0,False,False,True
RMW,1999-04-19,true_positive,true_positive,1999-08-26,91.0,False,True,True
RMW,1999-05-12,false_positive,post_collapse_warning,1999-03-17,0.0,True,False,False
RMW,2001-03-21,false_positive,too_early_to_attribute,2012-12-13,2951.0,False,False,False
RMW,2001-08-29,false_positive,too_early_to_attribute,2012-12-13,2839.0,False,False,False
RMW,2001-10-11,false_positive,too_early_to_attribute,2012-12-13,2813.0,False,False,False
RMW,2002-06-04,false_positive,too_early_to_attribute,2012-12-13,2652.0,False,False,False
RMW,2002-07-25,false_positive,too_early_to_attribute,2012-12-13,2616.0,False,False,False
RMW,2003-11-06,false_positive,too_early_to_attribute,2012-12-13,2291.0,False,False,False
RMW,2004-02-11,false_positive,too_early_to_attribute,2012-12-13,2226.0,False,False,False
RMW,2004-12-31,false_positive,too_early_to_attribute,2012-12-13,2002.0,False,False,False
RMW,2005-02-15,false_positive,too_early_to_attribute,2012-12-13,1971.0,False,False,False
RMW,2005-12-21,false_positive,too_early_to_attribute,2012-12-13,1756.0,False,False,False
RMW,2007-03-06,false_positive,too_early_to_attribute,2012-12-13,1456.0,False,False,False
RMW,2007-03-21,false_positive,too_early_to_attribute,2012-12-13,1445.0,False,False,False
RMW,2007-08-02,false_positive,too_early_to_attribute,2012-12-13,1352.0,False,False,False
RMW,2008-09-18,false_positive,too_early_to_attribute,2012-12-13,1067.0,False,False,False
RMW,2010-04-21,false_positive,too_early_to_attribute,2012-12-13,668.0,False,False,False
RMW,2011-08-08,false_positive,too_early_to_attribute,2012-12-13,340.0,False,False,False
RMW,2012-09-27,true_positive,true_positive,2012-12-13,52.0,False,True,True
RMW,2012-10-17,true_positive,true_positive,2013-04-09,116.0,False,True,True
RMW,2013-02-25,false_positive,post_collapse_warning,2012-12-13,0.0,True,False,False
RMW,2014-06-27,false_positive,too_early_to_attribute,2020-04-17,1461.0,False,False,False
RMW,2014-08-18,false_positive,too_early_to_attribute,2020-04-17,1426.0,False,False,False
RMW,2015-05-27,false_positive,too_early_to_attribute,2020-04-17,1232.0,False,False,False
RMW,2015-06-22,false_positive,too_early_to_attribute,2020-04-17,1214.0,False,False,False
RMW,2015-07-29,false_positive,too_early_to_attribute,2020-04-17,1188.0,False,False,False
RMW,2016-02-08,false_positive,too_early_to_attribute,2020-04-17,1055.0,False,False,False
RMW,2017-02-17,false_positive,too_early_to_attribute,2020-04-17,795.0,False,False,False
RMW,2018-03-26,false_positive,too_early_to_attribute,2020-04-17,519.0,False,False,False
RMW,2018-04-05,false_positive,too_early_to_attribute,2020-04-17,512.0,False,False,False
RMW,2019-05-22,false_positive,extended_early_warning,2020-04-17,228.0,False,False,True
